Q,A
의지력 거리던데 쟤 정상아니지?,ㅇㅇ 비정상임
이거 어캐 푸는지 알려주라 ㅜㅜ,14주차 예제문제랑 비슷하다 하셨어 그거 보고선 풀면 답 나와
이거랑 근로 같이 할 수 있나?,시간이 안 되지않나
이건 그 과 아니면 못 듣나요?,아마 신청해도 과사에서 짜를거같은데요
이것 저것 해보는데 왜 안되지?,12번째줄 자리는 하나밖에 안 내줫으면서 들어갈 놈은 두 개라 그런 거 아님? 반박시 님말이 맞음 ..
이게....뭐였...드라...?,내가.... 뭘... 공부..했드라??
이때도 계절학기 듣는사람 많나?,꽤있음
이럴경우 결석? 결석처리되어있음,눈 아파서 안보여
이메일 아시는 분 계신가요..?,산공인 ㅎㅇ
이번에 뭐뭐 들으세요 혹시???,저는.... 회계학원론이랑..... 뭐시기냐..... 조직론이용
이번에 지원 했는데 되려나...,과사는 어지간해서 자리잘안나요졸업시즌인 1학기때 그나마 좀 자리나는편
이번에 처음 신청하는데 잘 모름,그냥 교수님하고 밥먹음 학과카드로
이번주랑 다음주 비대면강의야??,몰겠네..
이번학기 점수 잘 주셨니..??,절평때보다 훨 낮게나옴
이제 대면이라고 하셨었나..??,월요일 강독시간에 알려준다고 했어요강독 안들으면 따로 공지한다 했으니 기다려야함
이제 영상 돌려보기를 못한다고?,특히 공대가 ㅈ됐음ㅋㅋㅋ
이틀빠졌는데 이거 에프일까요??,에프는 3분의1인가 4분의 1인가 출석안했을때 아닌가?
이학문 교수님 내일 대면 맞음?,당신의 선택 존경합니다
인쇄실 6시 이후에도 여나요??,아뉘요
인재동 앞 조용히하라고 할까요?,ㅇㅇ 바로 ㄱ
일요일에도 둔산동 사람 많나용?,항상많아요
잃어버린사람? 관리실에 맡겨놓음,미래동 카드키 아닌가요...ㅠㅠ?
임경연 교수님 줌으로 강의하셔?,강의계획서 보셈 녹강으로돼있음
있나요?쫄면이 갑자기 땡겨서..,김가네
있는데 이거 비대면 확정인건가?,씹 혹시나하고 확인했는데 난 올 대면인듯
있어? 한명만 채우면 될거같은데,--구했어요--
자르반 다이애나 올라프 녹턴유저,진짜 진지하게할게요
자취하는 애들아 한번 봐줘 ㅠㅠ,큰데
재수강 못하면 졸업 못하나요??,필수과목이f뜬걸 재수강못하면 졸업을못하죠
재학증명서 어디서 발급 받아?!,N1
저녁 사줄테니까 먹을 사람있어?,와좋겠다
저만 지금 다른과목들 안뜨나요?,저도 그래요..
저희 충남대랑 통합되는건가용??,몰?루¿
전공 아직도 대기인데 안된거임?,과사에 전화해보셈
전공책 아에 안보고 발표자료로만,피피티로만 해도 되는거면 피피티로만 함 아니면 안그러고
절대평가 b컷이 몇 퍼센트일까?,70
점심시간 몇시부터 몇시까지에요?,12~1
점호 하고있러? 몇 층까지 했나,3층하고 있는중!
점호때 뭐라고 말해준 거 있어?,잉 걍 연락 갈때까지 기다리라던디
점호했나요? 지금 몇층하고있음?,9층
정가5천인데 3900원에 팔려고,하루에 백원씩 깎니?
제 여친을 실제로 보고 싶네요~,이미4d로 존재해서 인지할수 없는게 아닐까
제가 따로 더 해야될게 있나요?,야간으로라도 수업들어도되냐고물어봐
제일 늦게까지 하는 곳 어디얌?,카페얌스
조별 실험하는거 톡방 만들었어?,만들게 뭐있어 그냥 하는거지
조용한데 대피는 하라고 하는데?,방독면 챙기십쇼
졸업논문 담당 교수님이기도 해?,아닝 우리과는 아냐
졸업하는지 확인 어디서하면되나용,ㄱㅅ
주나요? 침구만 들고가면 되나요,커버 주는데 따로 챙겨가는 편이 나아요!
주방알바 해본사람 있니? 어때?,친구가 해봤는데 재밌는데 ㅈㄴ 힘들다고함
줌 링크 올라왔는데 비대면임…?,ㄱㄱㅅ 교수님?? 나도 궁금해 ㅜㅜ
줌 못 봤는데 결과 못 보나??,아 나도
줌 수업 할 때 캠 꼭 켜야해?,줌수업한다고하셨어?
줌수업 나만 시작 안되는거야…?,저도요...
중간고사 객관식으로 나오나요??,ㄴㄴ 전부 서술형임
중간고사 다들 몇점 맞았어..?,너는?
중간고사 대체 과제점수 나옴??,노노 나 점수란에 0으로 뜨던데 혹시 너도..ㅡ
중간기말합쳐서 29점인데 f임?,그거 개소리야 새내기 속이려고 그러는거야
지금 NH뱅킹으로 등록금 안돼?,어젠 됐는데
지금 불꽃놀이 보여서 구경중인데,그러게..
지금부터 셤공하면 a이상 가능?,빡세게하면 ㄹㅇ 씹가능
지나가다 보시면 알려주세요...,왜요?
지하철 타면 많이 민폐인가요…?,냄세 많이 나면 좀 그렇긴 할듯ㅋㅋ
직접트는거아니야? 진짜 찜통인데,직접 틀으면됨
진로나 목표가 어떻게 되세요??,삼숭
진짜 5천만원 만들어서 나와요?,하기나름
진짜 수업 듣다 죽을수도...?,감기라고는 하지만  사망자는 100명이상 나오고 있지
질문폭격기 교수님 누구 있어요?,"노진성, 임채욱교수님"
집 와파로 해 데이터로 해 ??,데이터가 속 시원
집에서 그냥 강의나보면되는거지?,첫날은 격식있는 세미정장류로 오티참가해야되는데..누가말안해주드나
ㅊㅎㅇ교수님 오늘 시험맞아요??,내일
창문 열려있엇나 어케 들어왔지?,울면 개시끄럽겠다
책 22년도꺼 사야되는거 아님?,아직 없던데
책사야됨?녹강봐도 책얘기는없던데,시험때 필요함
첫 수업 못갔는데 ...어쩌지?,걱정마시고 담수업 착실히 들으면 됩니다.
체중계삼? 아님 근처에 뭐있음?,싸구려 샀음.
총학에서 어케 해줄수 있음..?,어케할라고?
최근에 연 거 보신분 잇나요?ㅜ,그 건물 고기집도 안열던데
추가 때 다시 신청하는거 가능?,대신 기존꺼 입사포기 하고 새로신청해야 함
축구 하는 사람 있???????,있어도 안껴줌 걱정ㄴㄴ
출력저항이 왜 ro+Re인걸까?,저거 트랜지스터를 등가회로로 변환 과정에서 오른똑에 전류원 하고 저항ro가 병렬로 원래 생기는데 생략해서 그림에는 안나온거임 참고로 ro는 저항을 거의 무한대로 생각해서 전류가 안지나감
출석 몇번정도 빠져야 f야?̊̈,93727277번
출입문 잠겨있는데 어케 열어??,열려라 참깨
취소하고 바로 신청할수있나요??,취소하면 당일은 신청 안되고 담날부터 신청가능
취업지원관님들 어때? 잘해주셔?,잘해주심
치팅시트 어떤식으로 만들꺼야??,어떻게 만들게?
친구 사귀려면 어디 가야할까…?,수업때 말거는게 좋긴하지 같은과 친구 사귀려면
카드키 잃어버린사람 있으세요??,저요ㅠㅠ
캠 켜야하나요? 아시는 분..!,꺼놓고 눈치보세요
컨닝페이퍼 된다고 하셨던가요?!,컨닝페이퍼…? 오픈북이요?
컴퓨터 맞추는데 잘못시켰다...,프랙탈이여?
컴활 동아리 만들 생각 없나용?,혹시 만드시면 저도..
컴활 하나만 따둬도 충분하려나?,그건 너 선택
코로나 두 번 걸려본사람 있나?,3번걸린사람 봄
코로나 이렇게 될줄 몰랐음 ;;,ㅋㅋㅋ
크롬으로 들어감 익스로 들어감?,크롬
ㅌㅂㄷㅇㅅㅅㅈㅇㅇㅅㄹㅊㅊㅊㅂㅊㅎ,띄어쓰기 없음?
타과생이 들어도 안어렵나요???,신청가능해?
토익으로 신청했는데 반려되어있네,적립 안됐다는거
톡 초대됐어? 나 떨어졌나벼..,"야 너두,,?"
통합학사에서 조회된 사람 있어?,7시래
퇴실확인서 같은거 어디서 받아?,1층 체온재는데 옆에있어
파파고도 안되는거지......?,당연하지 ㅋㅋㅋ
포화인지 과열기체인지 압축액인지,아니요. 온도 또는 압력이 필요합니다
표절률 몇프로까지 가능하다했더라,10퍼까지아님?
풀렸나요? 좌석 제한 없나여??,이떠
프린트 할수있는곳 있을까요..?,프린트카페 가십셔 과동에도 있지 않나?
피방 같이 갈사람???? 롤해요,솔랭이요?
피티 10회에 60이면 적당임?,살짝 비싼거야 원래 1회당 4~5만원 수준인데  60이면  6만원이네
필수 아니지? 오늘까지던데...,아맞다
하나요? 공기밥 리필 무료인가요,무료임
하는 분들 용돈 얼마나 받아요?,20만원이요
학교 근처에 화장품 가게 없잖아,노은 올영 ㄱㄱ
학교 도서관 오늘 문 여나요~?,열람실만 개방한다네요~
학교 우산 빌려주는곳 있나요??,네 도서관에 저요
학교안에 문구점 같은거 없나요?,학교 근처에 문구점있어
학교에다 건의해봐 이미 해봤나?,소음문제는 해결 못해여~
학교전화는 개인번호로 안오지??,보통은 821로 오지
학생식당 식권은 어디서 사..?,식권 없어졌대..
학생회비 낸 사람만 가능이야??,그럼 진짜 야박한건데
학식 계좌이체로 결제 돼요 ?!,웅 ㄱㄴ
학점 3.1인데 컴공전과 가능?,가능하겠니
학점대체해주는 뭐 그런거 있어?,당연하지 취업계
한 명 남았길래 잡았는데 궁금혀,아..
한개 틀렸는데 망한거같아서 ㅜㅜ,겨수님..절평부탁한다 하시지 않앗나.. 제발..
한번도 해본적이 없어서 난감하네,엥 당연히 넣어도 되는데? 세탁기에 피죤 넣는 순서까지 친절히 써줬잖아
한사람있어?? 전호ㅏ를 안받아썅,계속 통화중이야ㅠㅠㅠ 한사람잇ㅆ으며누말좀해줘
한자리 남았는데 하실분계신가여?,구하셨나여…?
한학기를 잘 보내고 싶네...ㅠ,혹시 남자세요
해본사람 있나요??어떤건가요??,갔다가 탈모되서 왔다 하지마셈
했는데 미납이라뜸 나만그런거야?,문자옴?
허경영 뽑는애들은 뭐야?ㅋㅋㅋㅋ,1억원씩 받고싶나봄 ㅋㅋㅋ
혈관 등록하는 사람들 많겟지?!,별루없을듯?
형님들 얘 어예 쓰는 거임? ㅠ,"음 그거 열림 괄호, 닫힘 괄호를 사용하거나 점을 이용해서 문제의 맞는 답에 표시하고 왼쪽에서 두 번째 칸(마우스 포인트 옆에 있는 거)로 그 두 개이어주면 돼요"
혹시 강의실 어딘지 아시는 분?,601
혹시 경상학관에 큐브 있나요??,그거 카드도 안되고 동전도 안더요 졷가틈
홈경기 17경기 연속 무패인데?,170이어도안감
화분반도 월요일6시 시험맞죠??,ㅇㅇ 시험장소만 달라짐 자세한건 사이버한밭 공지사항 봐
화수목이야 수목금이야? 헷갈리네,수목금
화욜에 시험있어서 공부하려했는데,"토요일/ 화요일 시험, 월요일 수업?"
화이자 1차가다실 3차 '오너',그에 대한 부작용은.?
확진이면 비대면인 거 맞나요??,984
후...똥손...머리 연습 간다,걍 슥슥 빗고가 하던대로 하는게 젤 이쁨
후속작 나왔더라 쥰내 추억돋는다,마나모아에서 갓슈벨 2기 봐서 가슴이 웅장해진 만붕이면 개추 ㅋㅋㅋㅋㅋ 아 바오자켈가 추억돋노 ㅋㅋ
휴학증명서 어디서 뽑을수있어??,n1가보셈 1층들어가서 왼쪽 대각선으로
희망사다리 장학금 많이들 해요?,그거 노예계약아님? 장학금 주고 졸업하면 거기서 일정기간 일해야 한다며
ㅜㅜ 젭알요.. 졸업하고 싶어요,오늘 들어갔는데
ㅠㅠ 아무리 찾아봐도 모르겠어요,한밭대 홈페이지 -> 주요사이트 -> 학생종합경력관리시스템
ㅠㅠ 화요일 67 교시입니다ㅠㅜ,미술 헬인데 ㅋㅋ
10분 늦어도 지각 처리 되나요?,ㄴㄴ 꼽은줌
10시시작하는강의 나만안들어가짐?,오늘 11시잖아
11점인데 기말 잘보면 c0ㄱㄴ?,아니 니 비나와
14만원 털림ㅅㅂ.. 너무 비싸다,양호
"19일까지 해야되는거면 에반데,,",전화하면 명단 받고 20일에 퇴실하게해줌
1번 vs 2번 어떤게 나아요??,1번
1분 차이로..ㅜ 점수 깎이겟죠?,진설은 패논패라 깎이고 그런 개념이 없어요
1인실 신청했어 2인실 신청했어?,2인실
1차랑 비슷해? 아니면 더 아파?,아빠가 맞으셨는데 1차 멀쩡하시고 2차 엄청 아파서 누우심... 오한 오고 열난다고 하더라
1층 열람실 몇시까지 해 ..??,24
1학기때만 하고 이제 안 하나요?,개인적으로 여쭤봤는데 낼부터 신청 받는대요
1학년 1학기 휴학 가능한가요??,군입대빼고 안되는걸로 알아요
1학년 감안하면 낮은 거죠...?,ㄱㅊ 난 2.3이었는데 취업은 했어 전공은 안살리긴했지만
1학년 말고 . 그 위 학년 과대,왜ㅐ??
1학년때 한번했으면 안해도 대지?,해야댐
2022년 1월 나만 안보여?.?,5일 지나야 보임
2500원인 곳 어디어디 이써??,세이빙
2주차 과제 답 비교해 볼 사람?,한번 해볼래?
2주차 수업도 듣고 가야하는거야?,철회해.. -dsp수강한화석-
2차까지 다 맞았는데 받아야되나?,입사할땐 해야될껄 나도 2차까지 다 맞았었는데 받음
2차도 같은 병원에서 맞아야함?!,ㅇㅇ 근데 원하면 변경 가능함
2학년때 입대할생각인데 어떨까요?,비대면일때 바짝들어놓는게 좋지
33km 구관 2인실 가능할까요?,아무도 몰라요. 근데 자리 하나쯤은 나지 않을까요?
3d 이거 인벤터로 해도 되나요?,ㄴㄴ 솔리드엣지로만
3점 초중반 나오는데 좀 힘든가요,다 달라요
4차산업혁명의 이해 없어진건가요?,그런긋
4학년 1학기는 11학점 맞나요?,써잇구만 왜물어봐
4학년 지금 수강신청 로그인 돼?,? 왜 되지?
6시 30분에 하교 버스두 해용?,임차버스 하교는 6시 20분이에요
7 세그먼트 관련해서 질문좀...,나도 도움 받고싶다
700이상인가요 800이상인가요?,750-800이욤
98점이라고 우겨도 되냐ㅠ...?,재수없어.
b가 오른쪽이야 a가 오른쪽이야?,나는 a가 왼쪽이라고 생각하고 하긴했는데
gta5 돌아가구... 그정도..,100
N4인가  N6으로 옮겼다던데??,성적증명서나 재학증명서 뽑는거?? N1동에 있음
ot때 출석체크 해?? 화면 켜?,출첵하고 화면 안켰어
ppt 5번까지만 보면 되는거지?,내가 깔아줄게
ㄱㅁㅅ 교수님 오전수업 듣는사람!,오 나 !! 난 안 사려궁
ㄱㅊ 했어? 뭐 배우는 지 궁금해,웩
갑자기 라멘이 꼴려서 낼 먹을려고,나 꼴리면 나 먹을거임?
강의 다들은사람? 아니면 끝낸사람,강의는 다들음
걍 개강 전에 하고 끝내고싶었는데,바꿀수있음
거실티비로 볼건데 야한장면나옴??,잔인한 장면만 나옴
건물앞에 줄은 왜 서있던거니..?,무슨 건물
걸어가니까 먼데 어떻게 왕복하니?,투모어 가격 얼마해??
검사하는데 시간 얼마나 걸리나요?,1분
검정색 바지에는 검은 양말 신어?,흰
"겨울 , 봄 옷? 봄, 여름 옷?","겨울,봄"
계절학기 들어보신분 어떠셨나요??,저 저번에 들어봤는데 괜찮았어여! 시간 없어서 토론도 그냥 간단하게 진행되고 수업도 무난무난
고급미적분 들으면 좋은점 있나요?,학점 최소 b0
공대 기준 학점 몇 점이 잘한겨?,4이상이 잘한거징
공부해도 되냐? 지금 하려고하는데,음주 공부만큼 재밌는게 없고 쓸데없는게 없지
공지안떴으니 아무도 모르는게맞나?,작년꺼 보면 대충 언젠지 알겠ㅈ
과대표하는거 어떤가요? 힘들까요?,힘듦
과제 서로 풀고 피드백 받으실분?,화이팅.!
과제칸은 연습문제만 내는거고..?,ㅇㅇㅇ 보고서는 나중에 조교님이 따로 안내해주신 기한까지!
과제한 사람..?h 구하는 2문제,비엔탈피는 우리의친구지
과톡에서 별말없었으면 상관없겠지?,상담 안했오?
괜찮은거 있으면 추천 부탁드려요!,에스쁘아 좋음
교수님이 재량으로 쁠 단건가..?,그거부터 쁠인데
교양 대기떠있는데 피말린다..ㅠㅠ,무슨 과목
교외 언제들어와 받은 사람 있나?,저도 아직 못받았어요
교재 사야되는거야 말아야되는거야?,그러게..ㅋㅋ 사야겠지?
교재 아직 못구한 애들있니..??,헐저요
국가장학금은 따로 다 주는건가요?,등록금 감면으로 끝
국교나 과방에서 공부하려고 하는데,ㄴㄴ 도서관 열람실은 연대
군대에는 대체 어떻게 밥나와요…?,먹다보면 적응됨 ㅋㅋ
궁금한거있는데 질문 좀 해도 돼?,쪽지 주세요 :-)
그 4번에 하중 뉴튼 몇나왔어요?,10만
그 블킹인가 뭔가 꿀팁없음...?,발로도 브레이킹있음?
그냥 면도기보다 좋은점이 뭔가요?,간편
그냥 체크카드 대면은 안되는거죠?,네 현금뽑아서 충전해야됨요
그냥 피피티 다 외워야 해? ㅠㅠ,혹시 ㅠ인현사 시험범위 어딘지 알아…?
그래서 10분동안 뭐하라고...?,교수 ㄴㄱ?
그래서 둘중에 누가바람핀건데 ??,사퇴한사람이 폇으니까 사퇴한거아니노 ㅋㅋ
그래서 일부러 안만드는중암튼 그럼,집에서 공부하는 게 집중이 잘 되겠지?
그러면 좀 괜찮은 사람 만나나요?,다 같은 사람이다
그러면 피시방 12시에 닫는거임?,오늘 열두시안에 닫을거고 낼부터 10시에 닫음
그럼 어떻게 해야하나요...???,계절학기!
그리고 4학년은 안 뽑겠죠...?,purple
그리고 그거 어디서 찾을수있나요?,그냥 질병관리청에서 온 격리문자만 있으면 됬던거 같은데
그리고 사진 첨부해도 되나요……?,저 작년에 들었는데 한장정도 사진 넣은듯
그전에 따로 전화드려야 하나요??,아뇨 그냥 가서 여봐라 게 누구 없느냐 하시면 됩니다
근데 학생회비 안내면 왜 못 씀?,누가 그럼?
금요일 밤 11시59분까지 맞죠?,들어가서 과제 제출기한 보셈
급여를 말 안하는건 무슨 심리임?,너내노예가되라
긱사 근처에 있음? 비슷한 고라도,쇼랜드에서 옛날통닭 팔껄
긱사 방금 신청했는데 될까요….?,기도메타
긱사(신관) 헬스장에 렉 있나여?,그런건 없다
길게말할 필요도 없는건 다 알지?,세법보다 심각
꼭 물어봐야할 질문 뭐가 있을까?,알람잘듣는지?
꽉 찼는데 어떡함?????????,다음에 들어
끄니까.다시 지혼자켜져 ㅅㅂ무서워,중앙제어라 가끔 그럴때 있음
나 지금 하고 있는데 하는새럼!?,모하는거야?
나 카페 알바생이거든? 괜찮겠지?,싫어하는 분들 많음
나 타코야끼 너무 먹고싶은데 ㅜㅜ,오늘 안오셔!
"나,. 혼밥레벨 좀 높을지도..?",나는 많이 푸드코트에서 혼밥하는데
나는 쓰나요 아니면 저는 쓰나요?,그런단어 안쓰는디요..
나랑친구하장 내가 여자라 여자만ㅜ,과 어디야?
나만 모르게 시험 한번 본건가??,먼 소리임?? 그게 어딨어?
나만 아직도 학적정보 심사중이야?,나도 심사중임
난 11층고정이고 층수 못바꾸던데,나도 못바꾸더라 11층 다 몰아넣는건가?
날 뿌수는 그게 박살나서... ㅠ,커터칼 날로 뭐할려고
내 프사 바껴도 상대방한테 안떠?,차단친구목록에서 프로필 비공개 해야됨
내가 먼저 그만둔다고 말해도 됨?,수습기간에 돈 적게 받는데에는 이유가 있지
내성적 생각보다 잘나왔네??ㅋㅋㅋ,나도 절평때보다 풀어진거같은데 올랏음
"내연기관 백지낸사람 많을까요,,?",나.. 거의 박지로 냈음..ㅠ
내일 2교시 과목인데 좀 애매하네,그냥 가서 말씀 드리셈
내일 2학년이 주웅 수 있나요)?,ㄴㄴㄴ
내일 들어가려고 하는데 사람 많나,ㄴㄴ 생각보다 없던데
내일 무슨 행사같은거 있는날임??,예비군 훈련 한대
내일 수업 9시부터 시작 맞죠??,넹 9시 수업 하시고 조금 일찍 끝내주신대요
내일 수업 안가도 되는거죠..??,사밭 공지 보셈
내일 아무때나 가도 상관없지 ??,나도 궁금한데.. 아마 10시반 이전에만 안가면 되나봐
내정자빼고 신규도 거의다 끝난건가,솔직히 갑자기그만둔다는 사람있지않는이상 첫날 오전에 대부분 다끝남
냉방이 안켜지네..? 더운디...,신관??
너네들 머써?? 다 알려줘!!!!,기본
너말이야 너 진짜 그렇게 살지마라,아 네.
네이비 vs 브라운뭐가 더 나아?,1. 네이비
넷플 자리 남는 곳 있을까요?😢,나랑 같이보자
노은? 도안? 어디가 더 맛있음?,노은 노맛임 시키지마..
놀이터쪽인데 어디에 버려야하지..,일쓰봉투에
누구누구 부인께서 부려먹으셨다는데,행시가 5급임
느려도 너무 느리네 진짜 짜증나게,너도 졸업조회 누르면 안들어가져?
다들 갈거임? 난 ㅈㄴ 고민중인데,ㅇㅇㅈ? 안가
다들 베란다 창문 평소에 열어놔?,ㅇㅇ 맨날 열어둠
다들 어떻게 공부하고 있나요..?,지금 걔가 먼저가 아니야ㅜㅜㅜ
다들 유닛 채우길 잘한 거 ㅇㅈ?,대체 어디서채우는거임
다들 잠깐 어떻게 보관할 생각임?,모르겠어... 어카냐...
다들 한울회 합격 메일 받았어??,ㅇㅇ 개좋다
다른반은 중간 기말 평균 몇점임?,50후반대
다리부러져서 계속 못나가는디...,그런거면 진단서 끊고 제출하면 됌 교수님께 메일 보내고 부득이한 사정이니까 교수님께서 요구하시는 것만 제출하면 봐주실거임. 정 모르겠으면 친구나 과사에 함 물어보고
다먹은 거 엘베 앞에 내놓는거야?,쓰봉에 모아서 해제될 때 1층 문에다가 놓으셈
다중심화전공 신청하고 가야되나여?,미리 해도 되고 나중에 해도 돼요!
단원끝날때마다 시험보는거 있었니?,있어 저번주에 안했으면 요번주에 해
대머리는 두피에 선크림 바르나요?,뒤질래요?
대면 한다는 소리 있었나요...?,공지 못본거같고 이분 원래 공지를 잘 안하심
대면상담원칙이 어디 나와 있나요?,그게뭔데요 학교홈페이지에 검색부터 ㄱ
대면일 것 같음비대면일 것 같음?,대면
대선후보가 홍준표 이낙연이었다면?,이낙연
대전 bmw랑 한밭대랑 동급?ㅋㅋ,에타 얘기 들어보면 맞는 말인듯 ㅋㅋㅋㅋㅋㅋㅋ
대전 최고의 아웃풋과 랜드마크는?,한밭대
대전에 여드름 압출 잘하는데있니?,오라클
대학영어 오늘도 정원 늘어나려나?,나 드랍할거임
대학영어 이 ㄱㅇ교수님 괜찮나용?,저랑 똑같은거 들으시네용..ㅠ
대학영어책 싸게 넘기실분 없나요?,필기감 꽤 있는데 괜찮나요
더쿡 근처라 굉장히 시끄럽겠됴…?,안시끄럽고 좋아요 벌레 안나오고
도서관 전자책은 어캐 빌리는거야?,교보문고 어플
돈 주고 사는 방법 밖에 없나요?,영어교재는 구글링 열심히 하다보면 나옴
동생이 간다고 하면 추천 비추천?,추천 비추천 쓰기 귀찮아서 초성퀴즈하네
동역학이랑 재료역학 못듣는건가요?,계절학기 들으셈 겨울에 열린다고 했던것같은데
동영상 강의도 시험범위 맞나요??,개멋져 교수님
들어간 분들 서버 괜찮으셨나요??,"아뇨,,,, 렉걸렸어요 ㅠ"
들어오셨나요? 언제쯤 들어올까요ㅜ,이미 들어왔어요!
등록금 어느정도는 환불 해주나요?,안해주지 않음? 지금 10주찬데?
등록금얼만지 나옴 ? 언제 내 ?,학교에서 연락안옴? 아니면 학사일정이나 학과 공지봐
디저트도 파나요?? 어떤거 있나요,스콘이랑 쿠키
딱딱해서 보니까 저런데 제조일인가,제조일
똑똑한 친구야 한번만 알려주라!!,1유형받고 부족한건 2유형으로도 줘요
뚜쥬랑 파바중에 어디가 더 좋아?,파바
뜨개질 같이 하실 분 계신가요 ?,뜨개질 잘하시나요?
"레터링 케이크 어디서 사는거야,?",인스타에 레터링케이크 치면 많이 나옴
레포트 다들 몇 페이지 썼어???,4장 썼는데 혹시 기말 오픈북이야??
로봇무인카페 지금 사용가능한가요?,학교에 로봇무인카페가 있어? 자판기는 본거 같은데
룸메 안정한사람도 호실 정할거야?,돌려돌려 돌림판해서 나온 호실을 찍어야지
리스닝에서 400점 맞기 어려워?,원래토익은rc보다 lc가 상대적으로 올리기쉬운편이라 거기서 점수많이가져가는거임
맛술 양배추 순두부 사야하는데 ㅠ,조금 멀어도 돼면 정림스토어
맞은 사람들 다들 괜찮았음 ㅠㅠ?,생각보단 안아팠음
매월 10일날 몇시쯤에 나오나여?,04월 05일
매치포인트나 테니스 지금 활동함?,나도 매치포인트 궁금함 사람 안뽑나
"머먹지,,, 어디가 더 맛있어??",안녕
면접 연락 온 사람 있어?? ㅜㅜ,아직 안 왔으면 서류 떨어진거야
명단에 내 학번이 없어...뭐지?,전화 드려봐
몇 점인지 아시나요? 성적 떴는데,몇점나왔어요?
몇명이 담았는지 확인 못하는거야?,에타시간표 ㄱ
몇살때 땄고얼마나 걸렸어? ㅇㅅㅇ,스무살 때 2주
몇시에 무슨 동아리부터 하는지ㅠㅠ,그런것두 있어? 과 부스는 학생회비 안내면 못한다는데
몇학점 채워야 3학년으로 넘어가?,졸업학점 130은 65학점 140은 70학점
"모의토익 4,5월에 도 있나요??",네~~
못 구한 사람 나밖에 없나...?,나도못구함내일인가수업? ㅋㅋㅋ
몽블랑꺼 제일 많이 선호하나..?,저려미
무슨 수업 하는 건지 아는 사람?,웨요?
무슨 아침부터 해? 너무 시끄럽다,저녁엔 못해서
무슨색이 더 나아?베이지vs화이트,화이트
무조건 다 성공하는건 아닐거 아녀,가챠
무조건 집에서 격리해야하는 거야?,성실동에서 격리할 수 있어
문제 너무 쉽던데 다들 잘봤겠지?,그런듯 ㅠ 기말 잘봐야할거같네
문제 스타일 어떤지 아시는 분??,과목이?
물리 12개 b는 ㄱㄴ??!!??,쌉ㄱㄴ
뭐 먹고 살음? 매일 요리해먹음?,그 시간에 배달 시킴
뭐 할 때마다 자꾸 로그아웃되는데,나도 그래서 바로 노트북갈아탐ㅠ
뭐 했는지 알려주실 수 있나요??,골프 말하시는거에요?
뭐햇음?? 지금은 이미 끝이네..,성적확인
뭔일있어..? 위에서 쿵쿵 소리나,뭔일있으니깐 쿵쿵 소리가 나겠지 바부얌😤
뭔지 설명해주실 분 있으신가요??,표같은 거 한눈에 보기 쉽게 한페이지에다가 정리해서 시험날에 써먹으라는 거 아니에요?
뮤츠 두마리 잡았는데 개체값이..,지금 뮤츠 레이드 있나?
미니스탑에서 사보신 적 있나요?~,네 팔아요 초록봉투
미방 배수형교수님 f 잘주시나요?,전설의 교수님
미적 과제인데 ㅠㅠ 모르겠어여..,분모를 1로 하고 유리화 하셈
ㅂㅅㅎ 교수니 과제 한분 있나요?,하 시팔진짜 이걸 과제라고 낸건가
밖에서 뭐해?? 노래 소리 들리래,그니까 뭐야????
반구형덮개랑 구형덮개랑 같은말임?,구형을 반으로 쪼갠게 반구형이지
발토 월요일 오후반 과제 있었음?,자기소개 하지 않음?
발표 팀플로 하는 교수님 있나요?,팀플 없는분 안계시니깐 그냥 ㄱㄱ!!
밤에도 임차버스 운영하나요????,시험기간은 11시인지 12시인지..
방금주워서 보관중이에요 쪽지주세요,귀걸이!!
방문해서 해야하나요 영장받구요 ?,그 통합학사에서 신청 가능
방학때 몇시까지 하는지 아는사람?,방학이라고 다름?
배드민턴 대학생들만있는 클럽없나?,오 있으면 나도 할래
벌금내면 재발급 받을 수 있나요?,해당 동 관리실 가서 말씀드리고 재발급 비용 내면 만들어 주세요점심시간에는 안계시니 피해서 들리시면 되세용
벌써 시험 보는 교수님이 있어??,나…
보통 4학년 하면서 거의 합격함?,ㄴㄴ 애초에 졸업할때 기사 없이 졸업하는 애들이 반절임 ㅋㅋㅋ 전기기사는 특히…못땀 어려워서
보통 어디 동에서 하나요 ????,전 그린에너지에서 했슴요
복전 많이 하나 심선 많이 하나?,심선
본인선택원? 아님 그냥 처음부터?,난 특기병이고 공군이고 다 귀찮아서 그냥 본인선택일자로 했는데
불고기없는 불고기 비빔밥 ????,난 있었는데.. 몇시에감?
블레이져에 롱패딩입으면이상할까??,ㄴㄴㄴ!
ㅅㅂ 시간빡빡하게 해야 안밀리겠네,밀리면 편해..
사 본 사람 ?? 효과있어 ??ㅜ,책 없이도 교정했음
사라졌어? 왜 그런 말들이 들리지,자동 수강신청 안되는뎀..
사람은 좋은데 생활패턴이 반대라서,안되는걸로앎
사회생활할 때 활용할 수 있어??,쓰기나름
살아보신분 계신가요?? 어때요??,비싸여
삼성페이로 출입이랑 결제되나요??,출입이안될걸요
생각 중이거나 하는 사람 있어??,그게 뭔디
생활과 법률 진짜 개꿀이였는데..,과학기술과 지식재산
선배님들 이전 축제들은 어땠나요?,옛날에 오티때 레드벨뱃 한번 왔었음
