Q,A
궁금한거있는데 질문 좀 해도 돼?,쪽지 주세요 :-)
나 카페 알바생이거든? 괜찮겠지?,싫어하는 분들 많음
뜨개질 같이 하실 분 계신가요 ?,뜨개질 잘하시나요?
미니스탑에서 사보신 적 있나요?~,네 팔아요 초록봉투
밖에서 뭐해?? 노래 소리 들리래,그니까 뭐야????
사 본 사람 ?? 효과있어 ??ㅜ,책 없이도 교정했음
생활과 법률 진짜 개꿀이였는데..,과학기술과 지식재산
시험문제 객관식 문제 아시나요??,나 오늘 시험봤는뎅
실험 보고서 학교 홈피에서 뽑나?,노마드칼리지 아냐?
아직 영업하는 식당 있나요...?,술집 빼고는 없을걸
어때?? 기모맨투맨 입어도 되나?,응 입어도 돼 추워
오늘 타코야끼 5시이후에 오나요?,4시반 쯤이면 올걸
월요일 수업 20일에 종강인가요?,?? 월 4~5??
이런게 있었던가.. 여튼 잘쓸게요,뭐여 난 왜 안 줘
치맥할사람??? 갑자기 너무 땡겨,불금에 치맥 조치~
학생증 없는데 빌릴수있는방법있어?,모바일 앱으로 가능
해주실분 있나요? 페이 잘쳐드려요,그냥 앤시스돌리세요
휴대폰으로 해본분들 괜찮나용..?,컴터로 2년째실패중
12장 6차과제 하신분 있나요?ㅠㅜ,보닌 열심히 하는중
cbt방식이라는데 난이도 어땠음??,그냥 열심히공부하셈
계획서상으로는 3주차따 한다했었는데,기계 ㄱㄱㅇ교수님?
과목 선택 뭘 선택해야 하는거야??,아무거나 하면 되요
교내 성적장학금 c 턱걸이 되나요?,기계는 됐었는데 흠
교수님한테 확인서만 보여주면 되나?,과홈피 공지사항가봥
궁금합니다! 예비군이 올해 첨이라…,그렇다고들은거같네요
귀찮아서 지금 한달째 안내는 중인데,일주일 이내 아님?
그래서 워크북을 하라는겨 말라는겨?,그럴땐 하라는거에요
근로 하면 시급으로 따져? 얼마야?,제발 공지를 보세요
기말고사도 이렇게만 보면 A+인가?,알면서 왜 물어봄?
나만 안 들어가지고 나와졌어...?,다시 들어갔어 ??
내일부터 운동 ㄱㄴ? 아픈곳 없는데,걍 쉬는게 좋을텐데
된 거 맞나요? 아니라고 해주새요…,너무 다 꽉차있던데
뭐지… 전공 하나가 성적이 안뜨는데,낼까지니깐 그럴수도
미래동 2인실에 빨래건조대 있나용?,넴 베란다에 있어요
실험은 휴강인데 매트랩은 헷갈리네요,네 녹강으로 대체여
아 짜증나 음성일 가능성 거의제로?,나는 음성 나오더라
어떻게 이용해요? 남자도 이용가능?,미래동에 있는거 ?
원래 오가는 대화 없이 조용한거야?,ㅇㅇ 거의 공지방임
이력서에 작성하게 되어있나요..??,?입상이상부터써야지
저 잘 못하는데 붙을수있을까요 …?,ㅇㅇ 졸업 다 해줌
지금 씻는 거 나만 이해 안 되냐?,1시까지는 이해가능
총장상 받는 사람은 문자 다른가요?,나도 이거 궁금하네
프린트 할 수 있는 곳 어디있나요?,프린트카페 24시간
"3-16,17 질문도 해야할까...?",3-15까지아니야?
걍 별생각 없어?아니면 좀 꺼림직해?,메이플스토리하는구나
거기 기본 2인분부터 시킬 수 있어?,ㅇㅇ… 근데 별로야
계산버리고 합격한사람있음?절대불가인가,일단 기계공은 불가
구경하는사람들이 소리지르는거 문화임?,우리학교 춤추는거?
그거 표에 나온거 등수대로 인거에요?,계산 오타난거겠지?
근로 다 끝나고 작성하면 되는건가요?,미리해도 상관없어요
근로 면접 질문 머머있어? 다 다른가,언제 일할 수있냐고
기말시험안본사람다들 성적 어케됐어요?,안본사람이있어..?
기초미적 시험 대충 몇 문제 나와요?,한 17문제정도??
님들 진로설계1 책 머 사야 하나요?,첫수업때 나눠주던데
리싸수은 신이고 암드주식은 무?적이야,먼데 무슨일인데?!
맨 아래에 저기에 뭐 써야하나요..?,남기고 일단 가져가
미방 b맞을려면 어느정도 해야되나요?,반타작이하면 맞는듯
받아보고 용종 발견된 사람 있어..?,난 아니구 우리아빠
뱃지랑명예로운 한밭인이라해서 별루야?,금 은 동이면 좋다
비행기소리 엄청 들리던데 뭔일 있음?,주변에 공군있으니까
ㅇㅊㅈ교수님 시험 다음주에 본다했지?,이것도 시험을 봐?
어케 생각해? 미니랑 에어는 너무비싸,난 이미 예약했는데
영끌다포함 7천인데 망한것같고 괴롭다,잘 모았구만 왜그래
오늘 좀 추운데 입을 정도는 아니야?,나 얇은 자켓 입움
오늘6시 전자기학 시험 장소 어디야?,아직 공지 안 떴어
이거 두개 뭐가 다른거인가요 ? ㅠㅠ,C랑 c+은 다르지
인원이 2명밖에 안되네 들을 수 있나,ㅇㅇ ㅋㅋㅋㅋㄱㅋㅋ
저기까지 쓰니까 딱 멈추네 해치웠나?,뭔 소음때메 그럼?
접수 끝나면 뭐 문자같은거 안날라와?,선택하지 않았어??
지금이라도 들어가는게 맞다고 보나요?,존나 비싼게 리스크
플레이리스트 듣다가 급 너무 땡김..,무슨노래 들었어??
학석사로 왔는데 전과 할 수 있나용?,학석사 포기하고 ㄱ
20학번이라 사람들 만난적이 없음 ㅋㅋ,ㄱㄱㄱㄱㄱㄱㄱㄱㄱㄱ
2학기때도 대학영어 신청이 가능한가요?,참고로 1학년입니다
2학기에 열리는데 너네라면 재수강함??,학점남으면 고~~~
6전공에 1교양 하면 많이 빡셀까요??,난 6전공만 할려고
다들 받아주나??? 친구 만들어야하는뎅,그래도 받아주겠지?
못가는사람있어?? 나진짜 가고싶은데ㅠㅠ,양도안된다고 하던데
뭐야 온수 안 나온다는 거임 내일까지?,찬물은 나오는거죠?
아직도 못 삿는데…. 파실 분 업나요…,어떤 교수님이세요?
어제 아침에 맞았는데팔아프고 두통 있어,타이레놀 먹고 푹셔
에타 거의 안들어오는데 뭔 일 있었음?,걍 얘넨 일을 잘함
오겜도안봤는데김혜수나온다니까 보고싶어요,오겜이랑 다른 재미
오늘 거의 종강이라서 사람 많겠지..?,혼자 룸잡고 부르자
이 부분은 어떻게 구하는거야 대체..?,기계제도 아니야??
읽어보라고 하신 책이름이 뭐였죠?ㅜㅜㅜ,부모라면 유대인처럼
ㅈㄱㄴ주종목은 철봉 평행봉 칼리스데닉스,플란체 잡으시나요?
재수강 할 과목 수업 안들어도 되나요?,교필인데 괜찮을가요
정말... 과사 전화해서 못 바꾸겠지?,전공 과에서 짜줌?
중급일본어강독이랑 한일이문화 휴강임ㅍ?,오늘 빨간날인데..
지금 문자 보낼려는데 마감되었을려나?ㅜ,이미 다 끝난듯..
책 필요하다 하셧나??자료만 보면 대나,쫄튀댓은 왜다노?ㅋ
학교 앞에 가정의학과? 거기서 해주나?,네이버 지도' 검색
2학기 기숙사 신청 언제쯤 하나요...?,작년 공지를 보세요
-2 점은 뭐임?,오엑스 틀렷으면 -1
2주남은거야;;?,3주 조금 안 남았지
8주차인가 그냥?,토목 토질은 언제보냐
강좌 사라짐???,폐강 강의 목록 보셈
과사에서 알려줌?,과사에 물어보면 되지
대면 가능한건가?,ㄴㄴ 누가 대면한댕?
대면 한대?)?!,몰라 공지도 안떴던데
몇일에 들어오나?,물어봐 가게마다 달라
무조건 해야 함?,ㄴ 하고싶은애들 많음
시험 몇문제야?!,시험 시간 언제야??
어디서볼수잇어…?,도서관 홈피에 있던가
어디서사나요?🥺,슈퍼에 왠만하면 팔걸
여명고르면 욕함?,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 오
워드 파일도 됨?,나 항상 워든데 했음
이거 뭐야..??,지금부터 캐시백 안돼
이제 좀 무서운디,마스크도 쓰고있어…?
일단 사긴했는데…,OT가면 ㅇ매기해주김
저번까진 안되던데,군휴학은 언제든 가능
파는 거 알아??,아놔 이것도 묵고싶넹
헬스장 열엇나??,곧 연다는 소문있던데
홈페이지에도없는데,내말이 갑자기 왜이래
10시간 컷 가능?,대체 뭘 공부해야함?
13장까지 맞나요?,1011 아니엿어??
C나오면 재수강해?,c이하 재수강가능한데
c도 가능성 없나?,기초면 그러지 않을까
걸어다니기 멀까요?,오르막길 생각하셔야함
계산기 필요하댔나?,ㄴ 계산 할게 어딨음
교수님한테 빈거임?,그렇지 않을까? 🤔
근데...어...?,역시 리틀차이나 ㅋㅋ
기숙사 좀 그런가?,기숙사도 취사실 있어
난 0.44 떨어짐,나도 0.42^^..
난 못푼거좀..있음,반타작일것같은데 ㅠㅠ
다들 잘 보셨나요?,뭐가 제일 어려웠음?
다음주도 대면이야?,별 말 없으면 그렇지
들을 만한가요..?,이제 칸트공부하셔야함
ㄹㅇ 과팅 시켜줌?,어어 내자리 비워놔라
롯데라 좀 불안하네,롯데는 느리던데...
몇시까지 하나요 ?,10시였나 11시였나
뭔데 ㅆㅂ첨봣다구요,뻐큐같이 생긴 그놈?
별로야?조별있었어?,조 없음 학점 잘주심
보통 오늘 본가가?,나도 내일 아침에 가
빨리 쉬고싶다 ㅎㅎ,내년 9월 28일부터
수업 뭐 했음???,그림 심리테스트..?
아시는 분 있나요?,저두 알려주세요오..
아직도 안올라왔죠?,a+일텐데 안알려주네
에도 빌넣 가능해?,원래그때 빌넣하는거임
여기 해 본 사람?,마하 속도로 일해야함
오늘 하나요………?,네 아까 하는거봤어요
이번주꺼 어려워요?,뭔소리인지 모르겠어요
있으시면 뽀뽀해드림,ㅈㅊㅎ 교수? ㅋㅋㅋ
저층부터채워지나요?,1명씩 있는 방 먼저
조금씩 조금씩 싸요,5번 싸는 사람도 봄
쪽문이 어디인가요?,국제교류관 옆 주차장
참아 말아? 하..,왜 참아 빨리 물올려
학교 안에 있나요?,s2동에서 본 기억이
10cm가 마지막임?,시발 찢었다 정열이형
강의실 어딘가요..?,산업정보관 304호요
누구 오시는거 맞나?,교수님 왜 안오실까요
담당교수없으면 어캄?,교수님한테 물어봐야지
ㄹㅇ 문제있다 ㅇㅈ?,ㅇㅇ 시간을 당기든지
몇시에 열어요????,9시부터였던거 같아야
방금 강의 신청했어요,아직까지 공지 없어요
방학때까지 하는거야?,2학기 개강전까지요!
배달앱에 왜 안뜨냐ㅠ,웅 가서 포장하면 됨
버릴분 있으세요ㅠㅠ?,이따가 버릴예정이에요
보통 몇시까지 하나요,9시에갔을때 있었어용
어떻게 생각함?...,필수아니면 상관없는데
오늘부터 대면 맞지?,응 근데 난 안갈거야
왜 신청 안된다그러지,강의 거래때문에 안됨
우리만 이런거지..?,ㅇㅇ 예전에는 많았음
이거 어떻게 풀어요?,교재보면 풀 수 있음
있으면 추천좀해줘!!,헐 친구 은행동사니?
전반 2대떡인데 ㅋㅋ,오늘 좀 무리많이하네
학생식당에서 ㄱㄴ??,그냥 라면을 시켜먹어
2주까지 뺄수있는거지?,1주인걸로 알고있는데
가면 뭐함? 후기좀..,몰러 내일가면 알겄지
강의 철회 가능한가여?,중간고사 전주에 가능
교명 한남충밭대 ㄱㄴ?,ㅋㅋ 족나웃기넼ㅋㅋㅋ
그럼 이건 무슨뜻인데?,내로남불이지 ㅋㅋㅋㅋ
근처에 파는 곳 있나?,"여름인데 있을까,,?"
기사책 파나요?????,도와주세요!!!!@@
나만 안 들어왔나???,놉 저도 안들어왓어욥
단톡 새로 초대 됐음?,이번에 복학인데 ㄴㄴ
보여줄 천사 없니..?,책을 아직안사갖구..
아직 줌 못들어갔지??,나도 아직 못들어갔어
애플워치나 아이패드처럼,태블릿은 진짜 유용해
어제까진 떴는데....,난 어제도 안뜸 ㅋㅋ
여기 원래 보수밭아님?,경남은 원래 좌파밭임
왜이렇게 시끄러워..?,오늘 체육대회 일껄?
왜이렇게 힘들지? 그냥,모두 다 힘든 시기다
이거 왜 이제야 썼지?,난 이미 쓰고 다녔지
이준서? 선수 개멋있다,들어온 라인 ㄹㅈㄷ임
잘하시는분 찾습니다..,전산구조 살려줘...
전기기사 있겠지? 부럽,발송배전기술사도 있음
점호 몇층까지 했나요?,3층하고 가신것같던디
처음만날때 보통 뭐함?,커피마시면서 자기소개
타코야끼 순대 차 옴?,어젠 다꼬야키 왔더라
택배 보통 언제쯤와??,새벽이랑 오후3-4시
택배 어떻게 보냄???,종강후 짐 보내는거?
학점 많이 중요한가요?,생각하기 나름이지 뭐
10개 맞으면 b0가능?,제발 7개 C+이라도
2학년때도 들을수있나요?,재수강도 많이 하더라
30일부터 수업시작이야?,다음주 월요일 아님?
검사 꼭 받고 가야함??,ㅇㅇ자가진단키트도 됨
금요일까지니깐 잊지말라구,그거 안하면 어케돼?
낼 시험 11시 맞지??,이거 오픈북형식맞아?
도서관처럼 큐브 있나요?,국교선 그거 못봤는디
설거지 같이 하면 안돼?,우리집 설거지나 해줘
순대차 갔어??? ㅇㅅㅇ,이시간이면 가셨을듯?
시험 2시야? 3시야??,수업 어려움? 어때?
싸고 괜찮은데 잇음???,싼데는 투썸옆이 싸대
ㅇㅊㅎ vs ㅇㅇㅇㄴㄱ?,ㄹㅇ 레전드 두명이다
아직 공부 한 자도 안함,한달정도 남았을걸요?
애들이 농사짓는다고 놀려,제발 바뀌었음 좋겟다
왜이렇게 실감이 안나지?,쉬는날이 많아서 그럼
원래 메일 늦게보시나??,하루만에 답장 왔는디
이게 지금 뭐하는거임??,왜??나오후반인뎅..
있으면 함 가보고 싶은디,아파트쪽에 수요장터?
중간고사 안 보려나..?,올라옴 확 인 ㄱ ㄱ
지원동기 뭐라고쓰냐..?,개꿀빨면서 돈벌려고요
집에 가져가고 싶은데..,취식만 안하면 가능해
4.5맞아도 못받는거야??,성적장학금 받우면대징
"56점 A 안되겠지,,,?",점수 어디서 확인해?
C+나왔는데 실화야..??,푸하하 에이플나왔지롱
공학용 계산기 필요한가요?,없으면 공대 아니예요
굳이 10판 아니여도 됨?,10판이어야 한다던데
그때 수업있으면 어떡함??,...못가는거지..?
나만 어려운거야..?...,걍 안 함 모르겜ㅅ음
다들 납부완료 나왓어..?,원래 일처리 좀 느려
도 오늘 들어오나 장학금?,그건 2월에 들어오지
둘중에 어떤것이 유용할까?,쿠팡와우 가격올랐는데
메일 아시는 분 있으세요?,강의계허ㅣㄱ서랄 부셈
베이컨치즈 베이글 맛있어?,이름부터가 존맛탱인데
시험범위 중간범위 포함임?,그니까 알 수가 없네
아 너무 억울한데 ㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋ큐ㅜㅠㅜㅜㅠ
아직 안나온거 맞지? ㅠㅠ,나도 그렇게 믿는 중
어디서 에세이 쓰는거지;;,저번에 시험 봤던 곳
있으면 나좀 도와주라 ㅠㅠ,가품이 더 품질 좋음
전화 하면 환불 해주겠지?,씹 ㅋㅋㅋ  개웃기네
정해진 요일이 있는건가요?,저번주 목욜에 왔던데
평점 3.8이면 어느정도?,취업한 2.0이 이김
하루컷 가능?? 밤새면..,한문 최소4급이상이면
경제학과 과사가 어디인가요?,건물 2층에 있습니다
근데 1학년은 아니고 3학년,구관 2인실은 붙을듯
나 기차까지 1시간 남았는데,걍 카페가서 앉아있어
다들 공부 많이하셨나용..?,그과목 시험 담주임?
등본 다시 떼서 내야 함 ?,그런거같음 하 몰랐네
또 나만 오후수업 듣는거야?,뭔소리야 오전도안했어
랩실 중간에 그만둘수있어??,ㅇㅇ나 그랫음ㅋㅋ ㅜ
보통 아침 먹고 수업 나옴?,긱사생도 많이 안먹음
시험 쉬웠던 사람 있어..?,어 나 진짜 다 외움
어디로 가서 만들어야하나요?,무쓸모인거 왜 만듦?
어딨어용? 나도 사먹고싶은데,놀이터 앞 아니에요?
언제 어디서 보는지 알아??,수요일 오후 반이야!
예제 다 푸신분 있나요 ??,혹시 다 푸셨나요 ㅠ
은 홍쌤토익이 1등이야???,별거없던데 독학드가자
전공 올클 힘드나요!????,다 전필인데 어렵겠니
졸업학점에 포함되는 거죠??,진로설계는 특필이에용
학점3.7이면  어느정도야?,나보다 잘하는 정도?
10시까지 실내이용가능 맞나?,원래 가능했어 식당음
1월 중에는 줄거같음? ㅋㅋㅋ,그니까 언제주냐 ㅡㅡ
5×45° 이거 무슨뜻인가요?,모따기 5mm 45도
5시 50분 쯤에 오나여..?,검색해서 찾아보렴^^
7주차 까지야 6주차 까지야?,6주차는 어디서나옴?
교양교수님이 이해해주실려나?…,이거 인정해주실 걸?
납부 0원이면 어케내야해요??,0원 계좌로 보내야지
노매너임? 왠 헛소리가 들리지,모자가 존나 화려한가
늦게까지 하는데 어디어디야??,데일리 평일기준 12
데이터로 표현하는 세상 빡셈?,ㅂㅈㅎ교슈님이면 쌉꿀
맞춰서 도서관 탈출하려 하는데,야간버스가 있어..?
머가 젤 성적 올리기 쉬워요?,텝스는 의미가 잇나?
목요일 시험이라 갈건데 몇시임,9시예지관마누24시간
번호별 배점이 어떻게 되었지?,40점 40점 20점
세법개론 중간고사 언제죠???,22일 3시 101호
소나무동 학생은 사용못하죠??,거기 여자동 아니냐?
아니면 a까지 못받는 건가요?,최대받을수있는건a까지
여기다가 구두도 신고 한다면…,아니 난 키커서 좋아
열전달 수치해석 과제 올라옴?,킹린! 킹린! 킹린!
영문과 과잠 남자친구 있어요?,너가 왜 여기서 나와
이번 태풍 위력 매미급이라던데,여기 대전임 걱정 ㄴ
제곧내 ㅠ패스과목도 잇길래..,에타 학점 계산기 ㄱ
중간고사 부분점수 주시나???,진짜 개후하게 쳐주심
지금 시험 안끝난사람 있어요?,아직 한 개도 안 봄
필요한 사람?있으면 좀따 버림,헐 수요일 오전 ??
흥미 있는데 혹시 있을까요 ?,import 있습니다
1과목 재수강 각 하하하....,6전공인데 5재수강각
가장 가까운곳이 유성구청인가요?,등본 온라인도 가능함
가정교육 독학했나? 존나 열받네,ㄹㅇㅋㅋ 인재동 앞?
남잔데 가끔씩 여자애들한테 들어,저렴하게 생기셨나봐요
내일 울자켓 입어도 안더울까요?,오전에는 좀 쌀쌀했어
다들 공모전 많이 나가시나여??,미대쪽 아니면 굳이?
다들 시험 어땠음? ㅇㅈㅅ교수님,나올 것 같은거 나옴
도대체 언제 하시겠다는걸까...,수업때말하시지않았나?
머리에 오는걸까?턱에오면 좋은데,참신하네 ㄹㅇ ㅋㅋㅋ
뭐야? 이제부터 녹강인건가???,오늘 두개올라온거지?
얼마에요?…. 어디에있어요….?,학생도 먹어도 돼요?
오늘 신청 못 해? 왜 안 뜨지,1일동안 재신청 못함
요즘 열려있나용? 여는 시간대좀,교직원만 쓸 수 있음
원가회계 시험 내일 7시 맞죠?,혹시 야간이신가요!?
정가5천인데 3900원에 팔려고,하루에 백원씩 깎니?
질문폭격기 교수님 누구 있어요?,"노진성, 임채욱교수님"
학교전화는 개인번호로 안오지??,보통은 821로 오지
학생회비 낸 사람만 가능이야??,그럼 진짜 야박한건데
ot때 출석체크 해?? 화면 켜?,출첵하고 화면 안켰어
교외 언제들어와 받은 사람 있나?,저도 아직 못받았어요
군대에는 대체 어떻게 밥나와요…?,먹다보면 적응됨 ㅋㅋ
그 블킹인가 뭔가 꿀팁없음...?,발로도 브레이킹있음?
날 뿌수는 그게 박살나서... ㅠ,커터칼 날로 뭐할려고
내일 들어가려고 하는데 사람 많나,ㄴㄴ 생각보다 없던데
다들 유닛 채우길 잘한 거 ㅇㅈ?,대체 어디서채우는거임
뭐 먹고 살음? 매일 요리해먹음?,그 시간에 배달 시킴
뭐 했는지 알려주실 수 있나요??,골프 말하시는거에요?
발토 월요일 오후반 과제 있었음?,자기소개 하지 않음?
배드민턴 대학생들만있는 클럽없나?,오 있으면 나도 할래
야간학생인데 왜 주간학생되어있음?,야간이 이제없어지거든
어때??트위치보는데 재밋어보이는데,도화가 이뻐서 할만함
어케 만들고 어케 들어가는거애요?,너가 만들면 됨 ㅎㅎ
언제부터 광고가 나오기 시작했지?,?? 원래나오지않음?
왜이렇게 끊기지? 해결방법 있어?,인재동이야 도와줘ㅠㅠ
요즘도 많나요? 혼밥 하려는데..,1시 넘으면 사람없음
이거 너무 느린거 아닌가 해서..,80좀 넘게 나오는듯
이거 수업 어때요? 뭐 알려줘요?,어떠긴 시발 개젖같지
이거나만답다르게나옴?절대안나오는데,나도 그거 어려워..
제출안하면 B맞기도 힘들겠죠?ㅠㅠ,C 준다하지 않았나?
지금부터 수업 안나가도 상관없나?,취소할거면 안나가도됌
직방 보고있는데 다른 앱도 있나요,"다방, 네이버 부동산"
토론대회 참가만 하실분 있나요??,참가만은 뭔가요..?
토욜 시험인데 학교가서 볼까요??,교수님이 공지안해줌?
통합학사 비밀번호야? 급해ㅠㅜ제발,기본은 생년월일6자리
9시 아니고 9시 30분까지 맞지?,ㅇㅇ 그리구 오늘이얌
개구리소년 버니어캘리퍼스너무 무섭당,개구리 소년 빰빠밤!
건설환경 공업수학 낼 대면 맞지??,"비대면 아님,,,,?"
공지 며칠간 기다리는데 안뜨네...,경상학관711이라 뜸
그냥 평소대로 가서 시험보면되는건가,시험은 잘 보셨나요?
내일 두시간 더 타고 시험이다 마!,마! 대단하다! 마!
만약 평점 3.5면 gpa 3.5?,백분율 말하는거일걸?
맛집 저녁타임에 혼자가는거 민폐야?,혼석있으면 괜찮지않나
목련화동 택배 어디로 보내요? 주소,긱사 사이트에 있어요
배정동 소나무동1인실 뜨면 된거여?,고지서출력 어케해??
분할납부 신청 결과 언제 알려주셔?,그거 거의 되지않아?
신청하려는데 오류뜨네.. 어떡하지?,더 늦기전에 전화를해
어린이날에 실시간 대면강의인가요??,대면이구나......
얼마나 적었는지 알려 줄 수 있음?,과제가 뭐였어요???
오늘 12시 미적 들어가는거 자유?,ㅇㅇ 시험이 곧 수업
오늘 공설입 ㅇㅁㅇ교수님 대면인가?,강의실 어딘지 알아?
우리 강의실만 안돼?진짜 더워죽겠너,조작 가능하지 않아?
우리학교 그래서 비대면 해? 안해?,6시에 문자오면 알듯
이거 사람이 외울 수 있긴 한거임?,설마 ㅁㅎㅈ 교수님?
있어요?? 오늘 보낼까 고민중인데…,ㄴㄴ 정정 때 ㄱ ㄱ
족보있으신분 없나요..? 사례할게여,어떻게 사례할건데요?
팀플이던데 같이 하실 분 계신가요?,조 선택 가능한가요?
학생이 쓸 수 있는 화장실 있나요?,똥은 자유롭게 싸야지
학점 3.5면 어떻게 되는고에요??,뭘물어보고싶은고에요?
흰색보내면 빠꾸야? 무조건 검정인가,흰색은 안에 다 비침
1500원짜리 밥만 사러가도 주려나?,"차라리 햇반을 사,,"
17장까지로 기억하는데 가물가물하네요,우리 18장 안배웠어
2시간동안 나랑 짐은 어디에 가있어?,ㅋㅋㅋㅋㅋㅋㅋ그러게?
f나온거 삭제요청 안하면 어캐되나여?,다시재수강 해야죠 뭐
h-can 어디서 보는지 모르겠네ㅠㅠ,개인실적등록 확인해봐
걍 당일에 가서 장소에 대기까면됨??,공연 도서관 앞에서함
교내 서점 이용시간이 어떻게 되나요?,8시부터 20시까지용
군대 전역했는데 복학 신청 어케해용?,과사에 물어보세요^^
다들 시험 잘봤어??? 어려웠는데..,내년에 봬요 교수님ㅜ
달때가 있음? 각이 안보이는데 추천좀,굳이 안에서 해야됨?
들어보신분! 조별과제나 발표있나요?!,작년 계절기준 없었음
산물하려고하는데 가격이 많이 차이나네,깡패랑 양아치 차이임
신청했는데 아직 승인안된 애들 있어?,나 오늘 신청함 ㅋㅋ
실험 1번 빠지면 점수 영향 큰가요?,실험있는날이면 클수도
오픈북이면 개인 프린트 봐도되나..?,북 이니까 책만봐랴지
왜 나 직선거리 36키로인데 붙음??,한밭관으로 다 몰려서
이거 매주차별 과제 안내면 논패스야?,출석마냥 세번까지였나
이건 언제 내는거야? 찾아도 안나와서,들어가기전에 내면 돼
이번에도 성적순 아니라 거리순이겠지?,1인실은 성적순아닐까
자퇴신청서적어서 과사에 내면되는거지?,신청서 어디에 있어?
평균보다 약간씩 높으면 b정도 나와?,b+이상나오지 않을까
하는 상황에선 어떤 얘길해야돼...?,김장은 하셨어요..?
하려나요? 코로나 땜에 안 하겠죠??,동아리마다 다르겠죠?
혹시 새집증후군? 이런거 있을라나..,리모델링은 상관없을듯
공지사항 올라온게 없던데 대면 맞나요?,시험때 말씀해주셨잖아
남자들 머리 어디서 잘라 학교 근처로?,학교 주변은 또이또이
남자인데 기숙사에서 공부 할 곳 있음?,긱사 독서실 안열림?
내일 가보려는데 헌화만 하고오면 되나?,향있는데 향만 놓고와
들어갈 수는 있음? 책 반납해야 하는데,무인반납기 이용가능함
발열근로 전화로 면접 보신 분 있나요?,아 전화못받은거 같아
솔직히 소상공인들은 찢 안뽑지않을까??,그럼 대체 누가 뽑냐
수강신청 탭에 다 담겨있으면 된거야??,확정써져있으면 된거야
아직 중간 공지 안올라온거지..? ㅠㅠ,궁 금 해 죽 겠 군
전체학년 수강신청때 자리가 남을까..?,힘들겠지만 파이팅..
점심때 11:30~2시까지가 맞나요??,11부터엿던걸로 기억
정종민 교수님 녹강이지?? 실강 없지?,아...아마도...?
주말에도 긱사에 있어? 아님 집에 가?,난 집에 자주 갓엇음
한 자루만 빌려주실 수 있을까요..?ㅠ,배드민턴 채는 있는데
혹시 8월달에 행사하는 제품 있아??!,피자어쩌고 3.3천원
ㅠㅠ… 실외가 아니니까 안 되겠지…….,아무래도 안되지않을까
12주차 강의 아직 안올라온거 맞지..?,이론강의 끝났어 이제
가능한 곳 있음?,N3동 고양이집 옆에서
같이 하지않을래?,만드는건 좋아하는디..
과제 대체 뭐임?,그니까 알려주셨어..?
머야?? 와...,기숙사생도 걸리거같은데
명령어 너무 많아,외워두면 나중에 써먹음
얄려주면 감사함둥,나도 알려줘 제발 ㅠㅠ
어떤게 나을까요?,집에서 컴으로해도 충분
옷 수선집있나요?,덕명중쪽에 수선집있어요
왜 재밌지...?,이번주 목 테라시작이네
요즘 총 쏘나용?,총만 쏘면 다행이다..
이거밖에 안남았네,남는것에는 이유가있는법
일요일에도 하나?,일요일엔 안열었던거같음
지금 가려는데..,여기보단 네이버에 쳐봐
첫주차에 못갔는데,별거 안함 그냥 수업해
태안군 아는 분?,태안반도 기름유출사건?
38 22면 d야?,왜 기말때 떨어졌냐 넌
kt는 아직 안됨?,출석인정 안 되는거아냐
같이 가줄사람 ㄷㄷ,방탈출  어디서 해??
과잠 어서 받아여?,N3 5층 학생회실이요
과제 있었니 ???,그분은 매주 있지 않나
그럼 절평으로하나?,이걸 폐강을 안했다고?
기모후드티 쌉가능?,어 오늘 좀 추워 ㅜㅜ
동아리 어디인가요?,오늘 버스킹 했어요??
뒷처리 어떻게 해?,물티슈로 싸악 닦아야지
물론 좋은 쪽으로!,뭐라고 연락 하시는데?
미니 가습기 팔까?,전화로 물어보면 알려줌
빼박 코로나인가??,나랑똑같네 바로 양성뜸
생각보다 느린데..,나 중간중간 ㅈㄴ 끊김
설명좀 부탁드립니다,요일이랑 교시 적혀있네
숏패딩은 오바겠지?,난 니트에 가디건 입음
수업 안나가도 됨?,첫주 출첵 의미 없긴함
아님 공유기나...,긱사에서 빌려줌 공유기
전화도 안받고 뭐지,교통사고로 잠시 쉬신대
캠켜야하나요..??,캠키는건 ㄹㅇ 교바교임
팀플이나 발표있나요,ㅇㅇ 있음 높은 확률로
학점 언제 나오나용,24일 9~10시 사이
걸어가야하냐....?,그럼 차타고 가게..?
결과 언제나와??!!,재수강신청을 했었어??
교재 매년 바뀌나요?,교수따라서 책이 달라요
남자 몇시까지야???,10시까지 였나 ..?
다 못한 사람 ㅜㅜ?,나 ... 죽겠어 진짜
마라탕추천 비추천??,개추천이지 줭나 부럽네
매년 꽃 챙기나요??,꽃 보단 돈을 챙깁니다
매주마다 실강인가요?,그런듯? 수업 개지루해
몇층 몇층에 있나요?,아뇨 1층에밖에ㅜ없어요
뭔가 나눠먹기 좋은거,부스러기 없는 버터와플
밭대 택시 잘 잡혀?,카카오 부르면 바로 옴
아 ㅋㅋ 안심하라구~,ㅋㅋ설마 진짜로 가겠냐
어디서 틀렸을까요.?,2x제곱이요 윗면 밑면
언제까지 제출이에요?,찾아봐...이미 늦었어
오늘 시험 11시지?,나도 그렇게 알고있어!
